problem,sample_id,c1_ls,c2_ls,z1,z2,status,iterations,f_eval,g_eval,cpu_sec,grad_inf,converged,J,J_star,rel_dev
P1_quad_10_10,0,0.1960325051161627,0.8525105397065553,0.913461478978574,0.8532169736538631,ok,13,30,31,0.001120599998102989,1.0685784690878108e-05,True,30.0,27.0,0.1111111111111111
P1_quad_10_10,1,0.11477407615665725,0.9868325443606001,0.8639858952000461,0.987808160681964,ok,14,28,29,0.0010421999977552332,9.837475309915078e-06,True,28.0,27.0,0.037037037037037035
P1_quad_10_10,2,0.14997328040306987,0.8609871096658935,0.8887083525016137,0.8617105307273483,ok,13,29,30,0.0010225000005448237,9.63192515524014e-06,True,29.0,27.0,0.07407407407407407
P1_quad_10_10,3,0.1024213800950003,0.8934714809984372,0.8534616351700445,0.8942600010004381,ok,14,27,28,0.0012258999995538034,1.9036730455113116e-05,True,27.0,27.0,0.0
P1_quad_10_10,4,0.03842399328329742,0.9178298771552319,0.7628485592388077,0.9186672115783887,ok,14,27,28,0.0010289999991073273,1.9036730455113116e-05,True,27.0,27.0,0.0
P1_quad_10_10,5,0.08905964545365229,0.9540643683607244,0.84054185454008,0.9549743169947138,ok,14,27,28,0.0010340999942854978,1.9036730455113116e-05,True,27.0,27.0,0.0
P1_quad_10_10,6,0.05921007662644788,0.9170441197885764,0.8028133015621622,0.9178798795476717,ok,14,27,28,0.0010236999951303005,1.9036730455113116e-05,True,27.0,27.0,0.0
P1_quad_10_10,7,0.04792245942692081,0.8766178288374545,0.7832650761697528,0.8773725739854253,ok,14,27,28,0.0010308999990229495,1.9036730455113116e-05,True,27.0,27.0,0.0
P1_quad_10_10,8,0.13176773469182848,0.8039807728231699,0.8767472607720161,0.8045899527286272,ok,13,29,30,0.0010171000030823052,9.63192515524014e-06,True,29.0,27.0,0.07407407407407407
P1_quad_10_10,9,0.23194809138864927,0.8945438902283579,0.9290101446060625,0.895334559347052,ok,13,30,31,0.0010223000062978826,1.0685784690878108e-05,True,30.0,27.0,0.1111111111111111
