method,c1_ls,c2_ls,success_rate,avg_iterations,avg_f_eval,avg_g_eval,avg_cpu_sec
BFGSW,0.005,0.1,1.0,52.833333333333336,353.0833333333333,354.0833333333333,1.3811581583333161
BFGSW,0.005,0.2,1.0,53.333333333333336,360.75,361.75,1.37968627500004
BFGSW,0.005,0.3,1.0,53.083333333333336,349.5,350.5,1.376417841666959
BFGSW,0.005,0.4,1.0,53.333333333333336,348.5,349.5,1.3768812583334693
BFGSW,0.005,0.5,1.0,53.75,347.25,348.25,1.391316666666474
BFGSW,0.005,0.6,1.0,56.083333333333336,350.6666666666667,351.6666666666667,1.3800818583329904
BFGSW,0.005,0.7,1.0,56.166666666666664,348.0833333333333,349.0833333333333,1.3882116833331868
BFGSW,0.005,0.8,1.0,57.0,348.25,349.25,1.3792325583331149
BFGSW,0.005,0.9,1.0,57.75,350.3333333333333,351.3333333333333,1.38044404166673
BFGSW,0.005,0.99,1.0,58.0,350.5,351.5,1.3792295333331215
BFGSW,0.01,0.1,1.0,52.75,362.4166666666667,363.4166666666667,1.369285575000049
BFGSW,0.01,0.2,1.0,53.333333333333336,353.4166666666667,354.4166666666667,1.3859825583334289
BFGSW,0.01,0.3,1.0,52.916666666666664,358.75,359.75,1.385579416666739
BFGSW,0.01,0.4,1.0,53.166666666666664,357.75,358.75,1.3872647250001744
BFGSW,0.01,0.5,1.0,53.666666666666664,348.1666666666667,349.1666666666667,1.3829931000000215
BFGSW,0.01,0.6,1.0,56.0,351.5,352.5,1.4117101583336382
BFGSW,0.01,0.7,1.0,56.083333333333336,348.9166666666667,349.9166666666667,1.39280075833373
BFGSW,0.01,0.8,1.0,56.916666666666664,349.0833333333333,350.0833333333333,1.3975544083335383
BFGSW,0.01,0.9,1.0,57.666666666666664,351.1666666666667,352.1666666666667,1.3792317750000318
BFGSW,0.01,0.99,1.0,57.916666666666664,351.3333333333333,352.3333333333333,1.3897468666665798
BFGSW,0.05,0.1,1.0,47.833333333333336,334.3333333333333,335.3333333333333,1.183673708333269
BFGSW,0.05,0.2,1.0,48.416666666666664,325.3333333333333,326.3333333333333,1.2661858416669627
BFGSW,0.05,0.3,1.0,47.833333333333336,330.75,331.75,1.1903226666663613
BFGSW,0.05,0.4,1.0,48.25,329.6666666666667,330.6666666666667,1.2292651000000963
BFGSW,0.05,0.5,1.0,48.75,320.0833333333333,321.0833333333333,1.220728708333354
BFGSW,0.05,0.6,1.0,51.833333333333336,323.6666666666667,324.6666666666667,1.2110065999997157
BFGSW,0.05,0.7,1.0,51.083333333333336,320.5833333333333,321.5833333333333,1.2003979166667402
BFGSW,0.05,0.8,1.0,52.0,321.25,322.25,1.2232422666666025
BFGSW,0.05,0.9,1.0,52.666666666666664,323.0,324.0,1.2084786000001866
BFGSW,0.05,0.99,1.0,53.0,323.25,324.25,1.2086597416669065
DFPW,1e-05,0.1,1.0,52.416666666666664,264.1666666666667,265.1666666666667,0.4186449083331354
DFPW,1e-05,0.2,1.0,111.25,977.8333333333334,978.8333333333334,0.4161776916666895
DFPW,1e-05,0.3,1.0,55.0,243.83333333333334,244.83333333333334,0.40040264166676326
DFPW,1e-05,0.4,1.0,56.916666666666664,254.58333333333334,255.58333333333334,0.3938882749997295
DFPW,1e-05,0.5,1.0,138.0,732.1666666666666,733.1666666666666,0.41570070833298206
DFPW,1e-05,0.6,1.0,175.83333333333334,355.1666666666667,356.1666666666667,0.40039509999966566
DFPW,1e-05,0.7,1.0,157.41666666666666,338.5,339.5,0.40814335000004576
DFPW,1e-05,0.8,1.0,151.91666666666666,340.6666666666667,341.6666666666667,0.4032226749999002
DFPW,1e-05,0.9,1.0,138.91666666666666,293.9166666666667,294.9166666666667,0.4109529666666276
DFPW,1e-05,0.99,1.0,148.16666666666666,289.9166666666667,290.9166666666667,0.41964931666673994
DFPW,5e-05,0.1,1.0,52.416666666666664,264.1666666666667,265.1666666666667,0.4108186083338599
DFPW,5e-05,0.2,1.0,111.25,977.8333333333334,978.8333333333334,0.42229345833326687
