problem,sample_id,c1_ls,c2_ls,z1,z2,status,iterations,f_eval,g_eval,cpu_sec,grad_inf,converged,J,J_star,rel_dev
P1_quad_10_10,0,0.1960325051161627,0.2525105397065552,0.913461478978574,0.25201456884424367,ok,13,27,28,0.0004526999982772395,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,1,0.11477407615665725,0.38683254436059994,0.8639858952000461,0.38660575587234464,ok,13,24,25,0.0003851000001304783,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,2,0.14997328040306987,0.26098710966589345,0.8887083525016137,0.2605081259177289,ok,13,26,27,0.0003816999960690737,9.329864291807155e-06,True,26.0,24.0,0.08333333333333333
P1_quad_10_10,3,0.1024213800950003,0.2934714809984371,0.8534616351700445,0.2930575961908188,ok,13,24,25,0.00036299999919719994,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,4,0.03842399328329742,0.31782987715523187,0.7628485592388077,0.3174648067687694,ok,16,22,23,0.0004011999990325421,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,5,0.08905964545365229,0.3540643683607242,0.84054185454008,0.3537719121850944,ok,14,23,24,0.000375000003259629,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,6,0.05921007662644788,0.3170441197885763,0.8028133015621622,0.31667747473805236,ok,14,23,24,0.0003741999971680343,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,7,0.04792245942692081,0.27661782883745434,0.7832650761697528,0.27617016917580595,ok,16,22,23,0.0003958999950555153,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,8,0.13176773469182848,0.20398077282316987,0.8767472607720161,0.20338754791900787,ok,15,24,25,0.0003895999980159104,9.052836428935507e-06,True,24.0,24.0,0.0
P1_quad_10_10,9,0.23194809138864927,0.29454389022835775,0.9290101446060625,0.29413215453743263,ok,13,27,28,0.00038530000165337697,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,10,0.1294853913891082,0.339132637970492,0.87513237370135,0.33881025848746693,ok,13,24,25,0.0003636999972513877,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,11,0.22359976177195726,0.32129245197141704,0.9256222815839095,0.3209343206126423,ok,13,27,28,0.00037880000309087336,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,12,0.08077247732389137,0.2982390331515569,0.8315148637816401,0.29783470255667027,ok,14,23,24,0.00036890000046696514,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,13,0.18793016175081917,0.26611461334186176,0.909560283128277,0.2656459051521661,ok,13,27,28,0.00037880000309087336,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,14,0.04210760918908432,0.29298695778752015,0.7713095806410956,0.2925721019915032,ok,16,22,23,0.00039790000300854445,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,15,0.10018595188410635,0.3703396960176714,0.851422082957635,0.37007985572912966,ok,13,24,25,0.0003639999995357357,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,16,0.10320546647329418,0.31013627506208874,0.8541664870019919,0.30975578663535946,ok,13,24,25,0.0003633999949670397,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,17,0.13032023666713824,0.37905592858331094,0.8757263519880752,0.3788135556947003,ok,13,24,25,0.0003629000057117082,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,18,0.19107532257626217,0.30142331683532464,0.911094260548514,0.30102536757046555,ok,13,27,28,0.000378400000045076,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,19,0.17276892979400782,0.37502860071104377,0.9017860593148249,0.374778157025094,ok,13,27,28,0.00038579999818466604,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,20,0.14899720251010184,0.26473781926191425,0.8881048635259571,0.26426635196584597,ok,13,26,27,0.00037310000334400684,9.329864291807155e-06,True,26.0,24.0,0.08333333333333333
P1_quad_10_10,21,0.1541517664920211,0.24161133853459293,0.8912481888574735,0.24109352558576447,ok,13,26,27,0.00037399999564513564,3.200401060787783e-05,True,26.0,24.0,0.08333333333333333
P1_quad_10_10,22,0.09466979884956878,0.22028431732512418,0.8461878774877282,0.21972376485483386,ok,13,24,25,0.0003617000038502738,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,23,0.07214772841756452,0.2922826705357694,0.8210783763793639,0.2918664033424543,ok,14,23,24,0.000378700002329424,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,24,0.16861447018161907,0.24857045890260765,0.8995364597637201,0.24806659208678122,ok,13,27,28,0.0003987000018241815,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,25,0.05824559287263865,0.2652976710493074,0.8012954044746715,0.2648273257007088,ok,14,23,24,0.00038920000224607065,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,26,0.08102105926216685,0.3157617233765834,0.8317988651141968,0.3153925083933702,ok,14,23,24,0.00038490000588353723,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,27,0.1420184958608588,0.3459313629061198,0.8836712949492385,0.34562260812236456,ok,15,24,25,0.000403900005039759,9.052836428935507e-06,True,24.0,24.0,0.0
P1_quad_10_10,28,0.04865847103486394,0.36195447000807207,0.7846737593215297,0.36167782565939083,ok,16,22,23,0.0003997000021627173,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,29,0.040097152540608555,0.24710012250896635,0.7667879406337731,0.2465933091272208,ok,16,22,23,0.000397000003431458,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,30,0.05742791944250284,0.240812826175248,0.7999887377514664,0.24029341300125048,ok,14,23,24,0.00037149999843677506,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,31,0.16643636256652447,0.3666438828011833,0.8983347865405039,0.36637663607333,ok,13,27,28,0.0003802999999606982,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,32,0.10376863753241672,0.3660810907762303,0.8546694511436055,0.3658127162086476,ok,13,24,25,0.0003667999990284443,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,33,0.1739372356079649,0.33614745046891376,0.9024089448580384,0.3358190886462062,ok,13,27,28,0.00038409999979194254,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,34,0.12487233560138014,0.3958175106640642,0.8717796093654244,0.3956087281203048,ok,13,24,25,0.00038019999919924885,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,35,0.07510277675511408,0.37772692332596186,0.8247884091151471,0.3774818871001622,ok,14,23,24,0.0003902000025846064,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,36,0.05826690367994947,0.22053183019931122,0.8013292139968641,0.21997177374680482,ok,14,23,24,0.0003842000005533919,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,37,0.12345858903860192,0.27006394915877885,0.8707272669323312,0.2696031554697183,ok,13,24,25,0.0003728000010596588,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,38,0.235327418100145,0.244925190438556,0.9303469751731765,0.24441401847550703,ok,13,27,28,0.00038949999725446105,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,39,0.16300781845221676,0.3596545952820615,0.896411007384859,0.3593733419659935,ok,13,27,28,0.0003828999979305081,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,40,0.15170202844920652,0.2808384628360298,0.8897676265303882,0.2803992613587473,ok,13,26,27,0.0003730000025825575,3.200401060787783e-05,True,26.0,24.0,0.08333333333333333
P1_quad_10_10,41,0.13906842407243297,0.36722027706489,0.8817312154407694,0.3669541854357615,ok,15,24,25,0.0004074000025866553,9.052836428935507e-06,True,24.0,24.0,0.0
P1_quad_10_10,42,0.05216577939623129,0.22711078398819765,0.7911064971737655,0.22656391181182128,ok,16,22,23,0.00039739999920129776,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,43,0.055312723818128975,0.35283159155906174,0.7965203101800181,0.35253666488883945,ok,14,23,24,0.0003711000026669353,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,44,0.10363690012970037,0.3638381157910383,0.8545520423997208,0.36356524628360554,ok,13,24,25,0.0003619999988586642,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,45,0.11506660865377251,0.2863389831106598,0.8642211611521109,0.2859108047201,ok,13,24,25,0.0003622999938670546,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,46,0.04881529004044128,0.27987515469918434,0.7849711470068568,0.27943402274467366,ok,16,22,23,0.0004053999946336262,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,47,0.09950741892646554,0.2433560498630083,0.8507939948004012,0.24284173332966763,ok,13,24,25,0.00036499999987427145,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,48,0.08786858588684156,0.31139817394250713,0.8392974701902107,0.3110202143712496,ok,14,23,24,0.0003701999958138913,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,49,0.11331363195134568,0.31213020676099656,0.8628023069147758,0.3117537141893753,ok,13,24,25,0.0003895999980159104,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,50,0.055278608930729646,0.21787984349072856,0.7964632892234876,0.21731447243559976,ok,14,23,24,0.00040580000495538116,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,51,0.04915367018680645,0.29029456489129846,0.7856096011894244,0.28987431351833515,ok,16,22,23,0.0003952999977627769,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,52,0.0563229766409296,0.37737381601601155,0.7981931349900288,0.37712807216033223,ok,14,23,24,0.000378700002329424,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,53,0.07071660790954622,0.22988369873806241,0.8192266426437484,0.22934238350507255,ok,14,23,24,0.0003727000002982095,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,54,0.05218109271131691,0.29287747971214073,0.7911336241521136,0.2924624045211831,ok,16,22,23,0.0003953000050387345,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,55,0.21956492982205927,0.2528409877170195,0.9239392822873392,0.25234567907516986,ok,13,27,28,0.0003811999995377846,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,56,0.14538494481318273,0.2842422564965934,0.8858365625013219,0.2838098762490916,ok,13,26,27,0.00037430000520544127,9.329864291807155e-06,True,26.0,24.0,0.08333333333333333
P1_quad_10_10,57,0.09914430921071038,0.29281921596632604,0.8504561185702149,0.2924040240143547,ok,13,24,25,0.0003680000008898787,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,58,0.18701023892196716,0.3680513147382645,0.9091067576781937,0.3677868885152951,ok,13,27,28,0.0003815000018221326,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,59,0.13087877042583762,0.24076056539431057,0.8761216186646611,0.24024104748928915,ok,15,24,25,0.0003913999971700832,9.052836428935507e-06,True,24.0,24.0,0.0
P1_quad_10_10,60,0.09053459805921499,0.2913882807810679,0.8420599778611598,0.2909702212235149,ok,13,24,25,0.0003630999999586493,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,61,0.03789474766650454,0.29274674057451294,0.76156668721652,0.2923314033812755,ok,16,22,23,0.0003954999992856756,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,62,0.1134286430852764,0.38409519141530224,0.8628960672296025,0.3838629172498018,ok,13,24,25,0.00038180000410648063,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,63,0.07228310505974402,0.3336986458619607,0.8212516352909376,0.33336537661519106,ok,14,23,24,0.0003800999984377995,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,64,0.07632515629250927,0.3348028107717826,0.8262805888741813,0.33447175428034326,ok,14,23,24,0.000371600006474182,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,65,0.038530496778169374,0.2567920599714254,0.763104383545639,0.2563046693100455,ok,16,22,23,0.0003940999959013425,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,66,0.09092607539945063,0.3576672872680952,0.8424587606613965,0.3573820513708369,ok,13,24,25,0.00036840000393567607,4.22057143154575e-05,True,24.0,24.0,0.0
P1_quad_10_10,67,0.03670810640895589,0.33328560690799713,0.7586262475971551,0.33295150992785283,ok,16,22,23,0.0003956000000471249,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,68,0.03408618407234257,0.2903774861392899,0.751777172803029,0.2899574009411722,ok,16,22,23,0.00039480000123148784,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,69,0.1843644695863426,0.2563947028250657,0.907789839972536,0.25590651585677926,ok,13,27,28,0.00038070000300649554,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,70,0.043808205872702205,0.258254768184197,0.7749688685022589,0.25777030880180063,ok,16,22,23,0.00039430000470019877,5.5491352473069355e-06,True,22.0,24.0,-0.08333333333333333
P1_quad_10_10,71,0.16480495258161795,0.25483773924830333,0.8974243833697984,0.2543464321125284,ok,13,27,28,0.0003856999974232167,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,72,0.18293903712274495,0.27013016236714266,0.9070724828986032,0.26966950136988244,ok,13,27,28,0.0003825999956461601,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,73,0.07659181527417555,0.3111393579964323,0.826602927687129,0.3107608797559442,ok,14,23,24,0.00037009999505244195,1.8404312642772425e-05,True,23.0,24.0,-0.041666666666666664
P1_quad_10_10,74,0.20814181831718118,0.27817507813985143,0.9190012577721782,0.277730539218288,ok,13,27,28,0.00038440000207629055,1.0395357863401955e-06,True,27.0,24.0,0.125
P1_quad_10_10,75,0.11935058477707096,0.253067898769285,0.8675996117192866,0.252573044859003,ok,13,24,25,0.0003938000008929521,4.22057143154575e-05,True,24.0,24.0,0.0
