problem,c1_star,c2_star,J_star,radius,n_valid,n_failed,S_mean,S_median,S_std,S_max
P1_quad_10_10,0.099,0.1,127.0,0.1,100,0,0.05999999999999999,0.08661417322834646,0.033233325534462684,0.08661417322834646
P3_quad_1000_10,0.099,0.1,134.0,0.1,100,0,0.023582089552238804,0.029850746268656716,0.03331881658014367,0.05223880597014925
P5_quartic_1e-4,0.099,0.1,3.0,0.1,100,0,0.0,0.0,0.0,0.0
P9_datafit_2,0.099,0.1,2387.0,0.1,100,0,0.1050230414746544,0.13866778382907416,0.07888885846175157,0.21114369501466276
P10_exponential_10,0.099,0.1,17.0,0.1,100,0,0.0,0.0,0.0,0.0
P11_exponential_100,0.099,0.1,17.0,0.1,100,0,0.0,0.0,0.0,0.0
P12_genhumps_5,0.099,0.1,111.0,0.1,100,0,-0.019729729729729736,-0.02702702702702703,0.26504703454330664,0.8198198198198198
