problem,c1_star,c2_star,J_star,radius,n_valid,n_failed,S_mean,S_median,S_std,S_max
P1_quad_10_10,0.099,0.9,27.0,0.1,100,0,0.0374074074074074,0.0,0.04512970903422359,0.1111111111111111
P3_quad_1000_10,0.099,0.9,74.0,0.1,100,0,0.1993243243243243,0.0,0.29825977154781735,0.6216216216216216
P5_quartic_1e-4,0.099,0.9,4.0,0.1,100,0,0.0,0.0,0.0,0.0
P7_rosenbrock_2,0.099,0.9,53.0,0.1,100,0,-0.0007547169811320755,0.0,0.007547169811320754,0.018867924528301886
P9_datafit_2,0.099,0.9,23.0,0.1,100,0,0.017826086956521738,0.0,0.0446033610341953,0.13043478260869565
P10_exponential_10,0.099,0.9,14.0,0.1,100,0,0.00857142857142857,0.0,0.08571428571428572,0.8571428571428571
P11_exponential_100,0.099,0.9,14.0,0.1,100,0,0.00857142857142857,0.0,0.08571428571428572,0.8571428571428571
P12_genhumps_5,0.099,0.9,52.0,0.1,100,0,0.3517307692307693,0.36538461538461536,0.29161440654787585,0.8653846153846154
