problem,method,c1_ls,c2_ls,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P1_quad_10_10,GradientDescentW,0.0005,0.99,ok,44,149,150,0,0.0010299000005034031,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.1,ok,44,149,150,0,0.0010387999991507968,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.2,ok,44,149,150,0,0.001037799998812261,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.3,ok,44,149,150,0,0.0010339999989810167,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.4,ok,44,149,150,0,0.0010373000004619826,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.5,ok,44,149,150,0,0.0010363999990659067,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.6,ok,44,149,150,0,0.0010420999988127733,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.7,ok,44,149,150,0,0.0010225999994872836,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.8,ok,44,149,150,0,0.0010160000001633307,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.9,ok,44,149,150,0,0.0010126000015588943,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.001,0.99,ok,44,149,150,0,0.0010110000002896413,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.1,ok,44,149,150,0,0.0010144000007130671,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.2,ok,44,149,150,0,0.0010081000000354834,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.3,ok,44,149,150,0,0.001022799999191193,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.4,ok,44,149,150,0,0.0009964999990188517,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.5,ok,44,149,150,0,0.0009952999989764066,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.6,ok,44,149,150,0,0.0009993999992730096,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.7,ok,44,149,150,0,0.00102100000003702,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.8,ok,44,149,150,0,0.0010130999999091728,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.9,ok,44,149,150,0,0.001012500000797445,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.005,0.99,ok,44,149,150,0,0.0010117000001628185,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.1,ok,44,149,150,0,0.0010156000007555122,-71.42912991277134,3.1651001978660886e-05,
