problem,method,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P1_quad_10_10,GradientDescent,ok,44,149,150,0,0.0013980829971842468,-71.42912991277137,3.1651001981991556e-05,
P1_quad_10_10,GradientDescentW,ok,44,149,150,0,0.00149891700129956,-71.42912991277137,3.1651001981991556e-05,
P1_quad_10_10,Newton,ok,1,2,3,1,0.00011370799620635808,-71.42912991377413,1.5987211554602254e-14,
P1_quad_10_10,NewtonW,ok,1,2,3,1,7.179100066423416e-05,-71.42912991377413,1.5987211554602254e-14,
P1_quad_10_10,TRNewtonCG,ok,5,6,7,5,0.0007510419964091852,-71.42912991377416,8.881784197001252e-15,
P1_quad_10_10,TRSR1CG,ok,10,11,12,0,0.0018097909996868111,-71.42912991377393,3.540216777508931e-07,
P1_quad_10_10,BFGS,ok,16,25,26,0,0.0008029579985304736,-71.42912991353407,1.9175286107397937e-05,
P1_quad_10_10,BFGSW,ok,16,25,26,0,0.0010216250011580996,-71.42912991353407,1.9175286107397937e-05,
P1_quad_10_10,DFP,ok,16,22,23,0,0.0005209579976508394,-71.4291299137559,5.549135249083292e-06,
P1_quad_10_10,DFPW,ok,16,22,23,0,0.0006631249998463318,-71.4291299137559,5.549135249083292e-06,
P2_quad_10_1000,GradientDescent,ok,1000,9966,9967,0,0.06559204200311797,-13.634294364960272,0.4137396350438878,
P2_quad_10_1000,GradientDescentW,ok,1000,9966,9967,0,0.06756341699656332,-13.634294364960272,0.4137396350438878,
P2_quad_10_1000,Newton,ok,1,2,3,1,0.00011358399933669716,-13.712074747306467,6.781242234410456e-13,
P2_quad_10_1000,NewtonW,ok,1,2,3,1,5.7624994951765984e-05,-13.712074747306467,6.781242234410456e-13,
P2_quad_10_1000,TRNewtonCG,ok,5,6,7,5,0.00028241700056241825,-13.712074747074627,0.00027625339308201546,
P2_quad_10_1000,TRSR1CG,ok,14,15,13,0,0.0009145420044660568,-13.712074747306525,3.343531673749567e-09,
P2_quad_10_1000,BFGS,ok,15,59,60,0,0.0007347909995587543,-13.712074746964927,4.691194829753442e-05,
P2_quad_10_1000,BFGSW,ok,15,59,60,0,0.0007640410040039569,-13.712074746964927,4.691194829753442e-05,
P2_quad_10_1000,DFP,ok,15,53,54,0,0.0005720420012949035,-13.712074743404022,0.00016700938415414868,
P2_quad_10_1000,DFPW,ok,15,53,54,0,0.0005975000021862797,-13.712074743404022,0.00016700938415414868,
P3_quad_1000_10,GradientDescent,ok,43,145,146,0,0.011005416003172286,-6496.166773511436,6.186644083605586e-05,
P3_quad_1000_10,GradientDescentW,ok,43,145,146,0,0.010839791997568682,-6496.166773511436,6.186644083605586e-05,
P3_quad_1000_10,Newton,ok,1,2,3,1,0.017984874997637235,-6496.166773646792,1.971756091734278e-13,
P3_quad_1000_10,NewtonW,ok,1,2,3,1,0.01325820900092367,-6496.166773646792,1.971756091734278e-13,
P3_quad_1000_10,TRNewtonCG,ok,8,9,10,8,0.013751417005551048,-6496.166773643621,1.3679109490016828e-05,
P3_quad_1000_10,TRSR1CG,ok,27,28,27,0,0.09141325000382494,-6496.1667736192185,6.787300991462075e-05,
P3_quad_1000_10,BFGS,ok,59,120,121,0,1.4436286669952096,-6496.166773592235,7.957645045841844e-05,
P3_quad_1000_10,BFGSW,ok,59,120,121,0,1.3435768749986892,-6496.166773592235,7.957645045841844e-05,
P3_quad_1000_10,DFP,ok,106,110,111,0,0.4846030409971718,-6496.16677361063,7.140665462657125e-05,
P3_quad_1000_10,DFPW,ok,106,110,111,0,0.51749979199667,-6496.16677361063,7.140665462657125e-05,
P4_quad_1000_1000,GradientDescent,ok,1000,9963,9964,0,0.7114688340006978,-2321.6660609140595,1.2406555677663307,
P4_quad_1000_1000,GradientDescentW,ok,1000,9963,9964,0,0.6976619170018239,-2321.6660609140595,1.2406555677663307,
P4_quad_1000_1000,Newton,ok,1,2,3,1,0.012712750001810491,-2339.1972246795985,8.240963467187612e-12,
P4_quad_1000_1000,NewtonW,ok,1,2,3,1,0.013360958000703249,-2339.1972246795985,8.240963467187612e-12,
P4_quad_1000_1000,TRNewtonCG,ok,9,10,11,9,0.0250393329988583,-2339.197224679393,1.1895333894784699e-05,
P4_quad_1000_1000,TRSR1CG,ok,219,220,194,0,1.7587058749995776,-2339.1971880790034,0.004615253994453283,
P4_quad_1000_1000,BFGS,ok,345,2696,2697,0,10.369289750000462,-2339.1971962038037,0.0046709797196786695,
P4_quad_1000_1000,BFGSW,ok,345,2696,2697,0,12.892669499997282,-2339.1971962038037,0.0046709797196786695,
P4_quad_1000_1000,DFP,ok,232,1182,1183,0,1.6675347499985946,-2339.197184886834,0.0048828975101100625,
P4_quad_1000_1000,DFPW,ok,232,1182,1183,0,1.671641750006529,-2339.197184886834,0.0048828975101100625,
P5_quartic_1e-4,GradientDescent,ok,2,3,4,0,0.00020487499568844214,1.600925598052903e-19,4.191681671900094e-10,
P5_quartic_1e-4,GradientDescentW,ok,2,3,4,0,9.087500075111166e-05,1.600925598052903e-19,4.191681671900094e-10,
P5_quartic_1e-4,Newton,ok,2,3,4,2,0.000399416996515356,3.778904386417301e-17,6.438156304952591e-09,
P5_quartic_1e-4,NewtonW,ok,2,3,4,2,0.00016375000268453732,3.778904386417301e-17,6.438156304952591e-09,
P5_quartic_1e-4,TRNewtonCG,ok,3,4,5,3,0.0005659999951603822,9.703352055728745e-27,8.472462640317369e-14,
P5_quartic_1e-4,TRSR1CG,ok,3,4,5,0,0.00041762500040931627,3.3611074697507825e-13,5.361924621995901e-07,
P5_quartic_1e-4,BFGS,ok,3,4,5,0,0.00023100000544218346,1.120680382267913e-19,3.81247091146123e-10,
P5_quartic_1e-4,BFGSW,ok,3,4,5,0,0.0002927919995272532,1.120680382267913e-19,3.81247091146123e-10,
P5_quartic_1e-4,DFP,ok,3,4,5,0,0.00023845800023991615,1.1035544219228701e-19,3.7831701744299277e-10,
